Anno;Sesso;Provenienza;Reato;<=1 Mese;1 Mese - 3 Mesi;3 Mesi - 6 Mesi;6 Mesi - 12 Mesi;1 Anno - Anni;2 Anni - 3 Anni;3 Anni - 5 Anni;5 Anni - 10 Anni;>10 Anni
2011;F;Italia;Omicidi Volontari;0;0;0;0;0;0;1;4;7
2011;F;Italia;Percosse;0;2;0;0;0;0;0;0;0
2011;F;Italia;Stalking;1;1;12;10;4;0;0;0;0
2011;F;Italia;Violenze Sessuali;0;0;0;1;3;2;5;5;0
2011;F;Italia;Maltrattamenti;1;0;8;31;22;5;0;1;0
2011;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;3
2011;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2011;F;Paese Estero;Stalking;0;0;2;2;1;0;0;0;0
2011;F;Paese Estero;Violenze Sessuali;0;0;0;0;1;0;1;2;1
2011;F;Paese Estero;Maltrattamenti;0;0;7;11;10;1;2;0;0
2012;M;Italia;Omicidi Volontari;0;0;0;0;2;0;2;42;325
2012;M;Italia;Percosse;8;9;5;2;2;0;3;0;0
2012;M;Italia;Stalking;2;23;133;230;111;15;2;1;0
2012;M;Italia;Violenze Sessuali;0;3;13;111;400;146;193;161;20
2012;M;Italia;Maltrattamenti;5;10;143;599;555;68;18;3;1
2012;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;1;6;101
2012;M;Paese Estero;Percosse;3;4;2;0;0;0;0;0;0
2012;M;Paese Estero;Stalking;0;3;20;43;32;10;2;0;0
2012;M;Paese Estero;Violenze Sessuali;0;0;3;39;199;95;163;138;12
2012;M;Paese Estero;Maltrattamenti;0;4;35;247;227;41;10;3;0
2012;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;5;6
2012;F;Italia;Percosse;2;1;0;0;0;0;0;0;0
2012;F;Italia;Stalking;0;4;26;19;7;0;0;0;0
2012;F;Italia;Violenze Sessuali;0;0;0;0;3;2;2;3;1
2012;F;Italia;Maltrattamenti;0;0;11;35;29;5;0;0;0
2012;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;2
2012;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2012;F;Paese Estero;Stalking;0;0;2;0;0;0;0;0;0
2012;F;Paese Estero;Violenze Sessuali;0;1;0;0;1;0;2;0;0
2012;F;Paese Estero;Maltrattamenti;0;0;1;9;13;3;2;0;1
2013;M;Italia;Omicidi Volontari;0;0;0;0;2;0;1;46;304
2013;M;Italia;Percosse;10;13;7;4;2;1;0;0;0
2013;M;Italia;Stalking;1;23;144;245;132;16;6;0;0
2013;M;Italia;Violenze Sessuali;0;0;10;134;429;131;166;168;15
2013;M;Italia;Maltrattamenti;3;12;132;590;521;91;23;4;0
2013;M;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;1;15;144
2013;M;Paese Estero;Percosse;3;7;1;0;2;0;0;0;0
2013;M;Paese Estero;Stalking;1;6;33;49;34;5;1;0;0
2013;M;Paese Estero;Violenze Sessuali;0;0;4;51;235;99;140;129;7
2013;M;Paese Estero;Maltrattamenti;0;4;31;221;255;39;9;0;1
2013;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;5;14
2013;F;Italia;Percosse;0;1;0;0;0;0;0;0;0
2013;F;Italia;Stalking;0;11;17;22;7;1;0;0;0
2013;F;Italia;Violenze Sessuali;0;0;0;3;6;2;5;5;1
2013;F;Italia;Maltrattamenti;0;1;5;16;26;6;1;0;0
2013;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;1;2
2013;F;Paese Estero;Percosse;0;0;0;0;0;0;0;0;0
2013;F;Paese Estero;Stalking;3;0;6;1;2;0;0;0;0
2013;F;Paese Estero;Violenze Sessuali;0;0;0;0;0;1;1;5;0
2013;F;Paese Estero;Maltrattamenti;0;0;2;3;13;1;1;0;0
2014;M;Italia;Omicidi Volontari;0;0;0;0;0;1;2;41;378
2014;M;Italia;Percosse;5;13;7;1;0;0;0;0;0
2014;M;Italia;Stalking;5;29;151;263;177;26;3;0;0
2014;M;Italia;Violenze Sessuali;0;2;7;107;366;105;143;127;15
2014;M;Italia;Maltrattamenti;3;2;67;502;676;76;21;2;0
2014;M;Paese Estero;Omicidi Volontari;0;0;0;0;1;0;0;20;138
2014;M;Paese Estero;Percosse;1;1;2;0;0;0;0;0;0
2014;M;Paese Estero;Stalking;0;2;23;65;35;3;3;0;0
2014;M;Paese Estero;Violenze Sessuali;0;1;4;36;186;83;134;122;5
2014;M;Paese Estero;Maltrattamenti;0;6;34;204;312;57;9;1;0
2014;F;Italia;Omicidi Volontari;0;0;0;0;0;0;0;1;9
2014;F;Italia;Percosse;0;0;0;0;0;0;0;0;0
2014;F;Italia;Stalking;1;6;28;19;11;0;0;0;0
2014;F;Italia;Violenze Sessuali;0;0;0;0;1;0;0;1;0
2014;F;Italia;Maltrattamenti;0;1;7;26;30;2;1;0;0
2014;F;Paese Estero;Omicidi Volontari;0;0;0;0;0;0;0;0;4
